status	isa	module	addr	asm_lines	name	note
1	thumb	code_8005020	0x08009c84	86	StaticObjs_Spawn	
1	thumb	code_8005020	0x08009d34	181	StaticObjs_StepAll	
1	thumb	code_8005020	0x08009e80	98	StaticObj_BuildChain	
1	thumb	code_8005020	0x08009f48	20	StaticObjs_Reset	
1	thumb	code_8005020	0x08009f70	111	sub_8009F70	✅ 2026-09-02 opencode: 属性成长查询(职业/等级/属性序号); 跳表=每case独立return10; stride命名变量+while守卫; fncheck OK
1	thumb	code_8005020	0x0800a048	84	Stats_BuildSkillList	✅ flag赋值替代goto(规则87); u8形参+1=移位域加法(规则88)
1	thumb	code_8005020	0x0800a0e4	113	Chara_GetFormGfx	
0	thumb	code_8005020	0x0800a1b4	258	sub_800A1B4	
0	thumb	code_8005020	0x0800a3c8	178	sub_800A3C8	
1	thumb	code_8005020	0x0800a534	155	sub_800A534	✅ 2026-09-02 opencode: 装备加成结算(表+8低4位-1选加成栏+=+6HP, 高4位-1选栏+=+7攻击, ID[0x22..2B]/[0x37..3E]→Noa+1); 关键=v拆两步(先&0xF再if(v-1<=6)switch(v-1))让val装载落ands与subs之间 + 第一分支u8 bonusVal=entry[6]重读(CSE合并)缩短val生命周期使val落r2/基址落r3; 规则112; fncheck OK
1	thumb	code_8005020	0x0800a664	142	Stats_RebuildEquipBonuses	✅ 2026-09-02 codex: 清零九项装备加成，重算六个装备槽并按四槽形态设置团队加成；fncheck OK (310B)
1	thumb	code_8005020	0x0800a79c	95	Stats_RecalcEquip	
1	thumb	code_8005020	0x0800a86c	28	ExpToLevel	
1	thumb	code_8005020	0x0800a8a0	25	LevelToExp	
1	thumb	code_8005020	0x0800a8d0	45	ItemFindSlot	
1	thumb	code_8005020	0x0800a924	26	Party_InitStats	
1	thumb	code_8005020	0x0800a958	12	ItemGetValue	
1	thumb	code_8005020	0x0800a970	3	sub_800A970	
1	thumb	code_8005020	0x0800a978	3	sub_800A978	
1	thumb	code_8005020	0x0800a980	33	FullHealParty	
1	thumb	code_8005020	0x0800a9c0	80	EquipItem	
1	thumb	code_8005020	0x0800aa60	19	sub_800AA60	
1	thumb	code_8005020	0x0800aa84	16	sub_800AA84	
1	thumb	code_8005020	0x0800aaa4	13	Silver_Add	
1	thumb	code_8005020	0x0800aac0	14	Silver_Sub	
1	thumb	code_8005020	0x0800aadc	14	sub_800AADC	
1	thumb	code_8005020	0x0800aaf8	16	sub_800AAF8	
1	thumb	code_8005020	0x0800ab18	17	sub_800AB18	
1	thumb	code_8005020	0x0800ab3c	34	Party_AnyEquip	
1	thumb	code_8005020	0x0800ab7c	32	Chara_ClearTempStatus	
1	thumb	code_8005020	0x0800abbc	30	Stats_ClearEquipBonus	
1	thumb	code_8005020	0x0800ac08	76	PartyForm_ApplyBonus	
1	thumb	code_8005020	0x0800aca4	18	FullHealCharacter	
0	thumb	code_8005020	0x0800acc8	442	sub_800ACC8	
1	thumb	code_8005020	0x0800b14c	183	SceneBg_Reload	
1	thumb	code_8005020	0x0800b2d0	32	MenuState_Reset	
1	thumb	code_8005020	0x0800b314	47	MenuHp_Update	
0	thumb	code_8005020	0x0800b374	1360	sub_800B374	
1	thumb	code_8005020	0x0800bee4	61	Msg_RenderLine	
1	thumb	code_8005020	0x0800bf5c	79	PartyUi_InitEntities	
0	thumb	code_8005020	0x0800bff8	116	sub_800BFF8	⏸ 2026-09-04 gpnux: permuter最优score=650(不可达0); GCC2寄存器分配+循环展开差异; 语义已解(坐标转换+tiles计算); 最佳C见permuter output-650-1
1	thumb	code_8005020	0x0800c0d8	86	BattleIntro_Setup	
0	thumb	code_8005020	0x0800c194	174	sub_800C194	
0	thumb	code_8005020	0x0800c2f8	3819	sub_800C2F8	
1	thumb	code_8005020	0x0800e170	114	MenuUi_SetEntityPos	
0	thumb	code_8005020	0x0800e244	517	sub_800E244	
1	thumb	code_8005020	0x0800e668	83	sub_800E668	
1	thumb	code_8005020	0x0800e71c	82	UiSprite_BeginSlide	
1	thumb	code_8005020	0x0800e7bc	166	UiSprites_Update	
0	thumb	code_8005020	0x0800e8f8	257	sub_800E8F8	
0	thumb	code_8005020	0x0800eae4	94	sub_800EAE4	
1	thumb	code_8005020	0x0800eb98	94	MenuUi_SpawnAuxSprites	
0	thumb	code_8005020	0x0800ec54	611	sub_800EC54	
0	thumb	code_8005020	0x0800f128	330	sub_800F128	
0	thumb	code_8005020	0x0800f3ac	124	sub_800F3AC	
1	thumb	code_8005020	0x0800f4a8	227	MenuUi_DrawItemList	
1	thumb	code_8005020	0x0800f670	80	sub_800F670	
0	thumb	code_8005020	0x0800f70c	323	sub_800F70C	
1	thumb	code_8005020	0x0800fa24	125	sub_800FA24	✅ 2026-09-04 opencode: 物品治愈 switch 状态机; chara home 由 permuter new_var 机制破解 (u8 截断 999→231 作弊, 人工改 u16 amt 保留 999); fncheck OK 264B; 全量 make+SHA1 绿
0	thumb	code_8005020	0x0800fb2c	361	sub_800FB2C	
0	thumb	code_8005020	0x0800fdec	146	sub_800FDEC	
0	thumb	code_8005020	0x0800ff10	306	sub_800FF10	
0	thumb	code_8005020	0x08010170	121	sub_8010170	
1	thumb	code_8005020	0x0801026c	81	ItemGetUsePower	
0	thumb	code_8005020	0x08010300	157	sub_8010300	
1	thumb	code_8005020	0x08010434	95	WarpTable_Check	
0	thumb	code_8005020	0x080104f8	142	sub_80104F8	
0	thumb	code_8005020	0x08010624	162	sub_8010624	
0	thumb	code_8005020	0x08010770	251	sub_8010770	
1	thumb	code_8005020	0x08010978	65	ScreenIdleIcons_BuildList	
1	thumb	save	0x080109f8	249	Save_Fsm	
1	thumb	save	0x08010bec	122	Save_FillSlot0	
1	thumb	save	0x08010ccc	94	Save_FillSlot1	
1	thumb	save	0x08010d80	100	Save_FillSlot2	
1	thumb	save	0x08010e58	91	Save_FillSlot3	
0	thumb	code_8010F10	0x08010f10	294	sub_8010F10	
1	thumb	code_8010F10	0x0801114c	146	sub_801114C	
0	thumb	code_8010F10	0x08011268	181	sub_8011268	⏸ 2026-09-02 opencode: 技能菜单物品页绘制=ClearBuffer(0x02005AA0,8,6)+(0x02005AB6,2,6)+按gSkillMenuPage逐页Inv_FindHeldItemOnPage画≤3件物品名/数量; 结构~90%对(地址/循环/字形全对), 剩205B=纯寄存器home分配偏离(page/slot/r9/r8与目标r4/r5互换+高位r8/r9/sl/sb用法不同); 候选permuter/sub_8011268/base.c
1	thumb	code_8010F10	0x080113cc	72	sub_80113CC	✅ 2026-09-02 op1: 手写 while(页号<=15 && 未持有) 旋转循环 + for 计数后续持有>=2 页; 首候选 fncheck 136B 全等; 语义=向后找"其后仍有>=2 持有页"的有效页号 (0=无页, 0xFF=不足)
0	thumb	code_8010F10	0x08011454	1849	sub_8011454	
0	thumb	code_8010F10	0x08012530	303	sub_8012530	
