addr,status,kind,module,name,rom_size
0x08018ea8,0,,code_8010F10,sub_8018EA8,280
0x08018fc0,0,,code_8010F10,sub_8018FC0,392
0x08019148,1,,code_8010F10,Bg0_InitClear,132
0x080191cc,0,,code_8010F10,sub_80191CC,312
0x08019304,1,,code_8010F10,DialogCtx_Clear3,56
0x0801933c,0,,code_8010F10,sub_801933C,920
0x080196d4,0,,code_8010F10,sub_80196D4,116
0x08019748,1,,code_8010F10,DialogCtx_SetPair,60
0x08019784,0,,code_8010F10,sub_8019784,604
0x080199e0,0,,code_8010F10,sub_80199E0,240
0x08019ad0,0,,code_8010F10,sub_8019AD0,200
0x08019b98,0,,code_8010F10,sub_8019B98,608
0x08019df8,1,,code_8010F10,BattleUiFlag_Clear,12
0x08019e04,1,,code_8010F10,BattleUiFlag_Set,20
0x08019e18,1,,code_8010F10,BattleUiFlag_Get,12
0x08019e24,1,,code_8010F10,BattleUiFlag_Reset,20
0x08019e38,1,,code_8010F10,Disp_ObjOff,20
0x08019e4c,1,,code_8010F10,Disp_ObjOn,20
0x08019e60,1,,code_8010F10,sub_8019E60,108
0x08019ecc,1,,code_8010F10,Disp_Bg1Off,20
0x08019ee0,1,,code_8010F10,DialogCtx_SetHead,40
0x08019f08,0,,code_8010F10,sub_8019F08,112
0x08019f78,0,,code_8010F10,sub_8019F78,228
0x0801a05c,1,,code_8010F10,DialogCtx_GetField_C,24
0x0801a074,1,,code_8010F10,BgMap_PalFillRect,124
0x0801a0f0,1,,code_8010F10,DialogCtx_Flush,76
0x0801a13c,1,,code_8010F10,FlashFlag_Clear,12
0x0801a148,1,,code_8010F10,FlashFlag_Get,12
0x0801a154,1,,code_8010F10,FlashFlag_Reset,20
0x0801a168,1,,code_8010F10,BattleFx_Init,116
0x0801a1dc,1,,code_8010F10,BattleFx_Stop,60
0x0801a218,1,,code_8010F10,BattleFx_DispOff,88
0x0801a270,1,,code_8010F10,sub_801A270,60
0x0801a2ac,1,,code_8010F10,sub_801A2AC,64
0x0801a2ec,1,,code_8010F10,sub_801A2EC,56
0x0801a324,1,,code_8010F10,BgLoad_Reset,12
0x0801a330,1,,code_8010F10,BgLoad_Finish,12
0x0801a33c,1,,code_8010F10,BgLoad_GetPos,12
0x0801a348,1,,code_8010F10,sub_801A348,20
0x0801a35c,1,,code_8010F10,sub_801A35C,16
0x0801a36c,1,,code_8010F10,BgScrolls_WriteAll,60
0x0801a3a8,1,,code_8010F10,sub_801A3A8,28
0x0801a3c4,0,,code_801A3C4,sub_801A3C4,552
0x0801a5ec,0,,code_801A3C4,sub_801A5EC,152
0x0801a684,1,,code_801A3C4,sub_801A684,112
0x0801a6f4,0,,code_801A3C4,sub_801A6F4,400
0x0801a884,0,,code_801A3C4,sub_801A884,1160
0x0801ad0c,0,,code_801A3C4,sub_801AD0C,940
0x0801b0b8,0,,code_801A3C4,sub_801B0B8,1208
0x0801b570,0,,code_801A3C4,sub_801B570,280
0x0801b688,1,,code_801A3C4,sub_801B688,216
0x0801b760,1,,code_801A3C4,sub_801B760,48
0x0801b790,1,,code_801A3C4,sub_801B790,40
0x0801b7b8,1,,code_801A3C4,sub_801B7B8,100
0x0801b81c,1,,code_801A3C4,sub_801B81C,92
0x0801b878,1,,code_801A3C4,sub_801B878,52
0x0801b8ac,1,,code_801A3C4,sub_801B8AC,60
0x0801b8e8,1,,code_801A3C4,sub_801B8E8,20
0x0801b8fc,1,,code_801A3C4,sub_801B8FC,36
0x0801b920,1,,code_801A3C4,sub_801B920,52
0x0801b954,1,,code_801A3C4,sub_801B954,8
0x0801b95c,1,,code_801A3C4,sub_801B95C,8
0x0801b964,0,,code_801A3C4,sub_801B964,1232
